批准文号,游戏名称,运营单位,批文日期
文网游进字〔2015〕0039 号,我的世界,百视通新媒体股份有限公司,2015-06-16
文网游进字〔2015〕0023 号,小小大星球3,上海东方明珠文化发展有限公司,2015-04-23
文网游进字〔2015〕0026 号,钢铁骑士团,上海数龙计算机科技有限公司,2015-04-23
文网游进字〔2015〕0022 号,敢达决战,上海蛙扑网络技术有限公司,2015-04-23
文网游进字〔2015〕0025 号,虚拟农场14,上海东方明珠文化发展有限公司,2015-04-23
文网游进字〔2015〕0024 号,光环士官长合集,百视通新媒体股份有限公司,2015-04-23
文网游进字〔2015〕0021 号,糖糖大世界,北京昆仑乐享网络技术有限公司,2015-04-23
文网游进字〔2015〕0019 号,雷曼传奇PS4版,上海东方明珠文化发展有限公司,2015-03-20
文网游进字〔2015〕0020 号,暗黑破坏神III：夺魂之镰,上海网之易网络科技发展有限公司,2015-03-20
文网游进字〔2015〕0016 号,男儿当入樽,上海蛙扑网络技术有限公司,2015-03-20
文网游进字〔2015〕0018 号,吉娜姐妹扭曲梦境,上海东方明珠文化发展有限公司,2015-03-20
文网游进字〔2015〕0017 号,驾驶俱乐部,上海东方明珠文化发展有限公司,2015-03-20
文网游进字〔2015〕0015 号,光之子,百视通新媒体股份有限公司,2015-03-20
文网游进字〔2015〕0014 号,战天堂,深圳市尚游网络科技有限公司,2015-03-18
文网游进字〔2015〕0012 号,惊天动地2-永恒,北京畅游时代数码技术有限公司,2015-03-12
文网游进字〔2015〕0013 号,格斗联盟,北京畅游时代数码技术有限公司,2015-03-12
文网游进字〔2015〕0011 号,水果忍者体感版2,百视通新媒体股份有限公司,2015-02-27
文网游进字〔2015〕0010 号,型可塑,百视通新媒体股份有限公司,2015-02-27
文网游进字〔2015〕0008 号,舞力全开2015,百视通新媒体股份有限公司,2015-02-10
文网游进字〔2015〕0006 号,雷曼传奇,百视通新媒体股份有限公司,2015-02-10
文网游进字〔2015〕0005 号,美国篮球协会15,百视通新媒体股份有限公司,2015-02-10
文网游进字〔2015〕0009 号,幻幻球2,百视通新媒体股份有限公司,2015-02-10
文网游进字〔2015〕0007 号,姜饼人酷跑,深圳市创梦天地科技有限公司,2015-02-10
文网游进字〔2015〕0003 号,花花卡姆,上海东方明珠文化发展有限公司,2015-01-20
文网游进字〔2015〕0002 号,触光投影,上海东方明珠文化发展有限公司,2015-01-20
文网游进字〔2015〕0004 号,极速冒险2X,上海东方明珠文化发展有限公司,2015-01-20
文网游进字〔2015〕0001 号,蒸汽世界开采,上海东方明珠文化发展有限公司,2015-01-20
文网进字[2014]0128号,钠克的大冒险,上海东方明珠文化发展有限公司,2014-12-30
文网进字[2014]0131号,功夫宠物,北京友皆乐通信技术有限公司,2014-12-30
文网进字[2014]0127号,真古龙群侠传Online,卓易通(北京)网络技术有限公司,2014-12-30
文网进字[2014]0130号,恋战,深圳市尚游网络科技有限公司,2014-12-30
文网进字[2014]0129号,愤怒的小鸟,拓维信息系统股份有限公司,2014-12-30
文网进字[2014]0133号,马上有英雄,北京友皆乐通信技术有限公司,2014-12-30
文网进字[2014]0132号,魔灵召唤,北京友皆乐通信技术有限公司,2014-12-30
文网进字[2014]0117号,最终幻想X2,上海东方明珠文化发展有限公司,2014-12-17
文网进字[2014]0126号,机动战士敢达Online,上海久游网络科技有限公司,2014-12-17
文网进字[2014]0125号,最终幻想X,上海东方明珠文化发展有限公司,2014-12-17
文网进字[2014]0121号,街机档案少年忍者魔城大冒险,上海东方明珠文化发展有限公司,2014-12-17
文网进字[2014]0124号,灵魂交织,上海东方明珠文化发展有限公司,2014-12-17
文网进字[2014]0123号,街机档案疯狂攀爬者,上海东方明珠文化发展有限公司,2014-12-17
文网进字[2014]0120号,街机档案月冠登陆艇,上海东方明珠文化发展有限公司,2014-12-17
文网进字[2014]0119号,特技摩托聚变PS4版,上海东方明珠文化发展有限公司,2014-12-17
文网进字[2014]0122号,街机档案疯狂摔跤惊心时刻,上海东方明珠文化发展有限公司,2014-12-17
文网进字[2014]0118号,方块猫嘉年华,上海东方明珠文化发展有限公司,2014-12-17
文网进字[2014]0116号,魔兽世界：德拉诺之王,上海网之易网络科技发展有限公司,2014-11-02
文网进字[2014]0115号,暴雪风暴英雄,上海网之易网络科技发展有限公司,2014-10-20
文网进字[2014]0108号,特技摩托聚变,百视通新媒体股份有限公司,2014-09-22
文网进字[2014]0109号,舞动全身,百视通新媒体股份有限公司,2014-09-22
文网进字[2014]0111号,动物园大亨,百视通新媒体股份有限公司,2014-09-22
文网进字[2014]0113号,体育竞技,百视通新媒体股份有限公司,2014-09-22
文网进字[2014]0110号,极限竞速5,百视通新媒体股份有限公司,2014-09-22
文网进字[2014]0112号,麦克斯兄弟魔咒,百视通新媒体股份有限公司,2014-09-22
文网进字[2014]0107号,艾斯蒂敢达大作战,上海久游网络科技有限公司,2014-09-10
文网进字[2014]0106号,魔幻英雄,广州华多网络科技有限公司,2014-09-03
文网进字[2014]0105号,海岛奇兵,北京昆仑乐享网络技术有限公司,2014-09-03
文网进字[2014]0104号,捣蛋猪,拓维信息系统股份有限公司,2014-08-18
文网进字[2014]0102号,大航海时代5,上海布鲁潘达网络技术有限公司,2014-08-18
文网进字[2014]0103号,水果忍者,深圳市创梦天地科技有限公司,2014-08-18
文网进字[2014]0101号,钓鱼发烧友,北京友皆乐通信技术有限公司,2014-08-18
文网进字[2013]041号,激战2,北京空中信使信息技术有限公司,2013-12-25
文网进字[2013]039号,无双之王,上海悠游网软件科技有限公司,2013-12-25
文网进字[2013]042号,希望OL,北京昆仑在线网络科技有限公司,2013-12-25
文网进字[2013]040号,神之谕,上海悠游网软件科技有限公司,2013-12-25
文网进字[2013]038号,《坦克世界》0.8.9,北京空中信使信息技术有限公司,2013-12-25
文网进字[2013]043号,小狗快跑,上海邮通科技有限公司,2013-12-25
文网进字[2013]044号,鳄鱼小顽皮爱洗澡,北京群胜网科技有限公司,2013-12-25
文网进字[2013]032号,魔界村,上海数龙科技有限公司,2013-11-26
文网进字[2013]034号,大海战Ⅲ,九合天下（北京）科技有限公司,2013-11-26
文网进字[2013]033号,末日纪元,上海数龙科技有限公司,2013-11-26
文网进字[2013]035号,战机世界,北京空中信使信息技术有限公司,2013-11-26
文网进字[2013]029号,炉石传说：魔兽英雄传,上海网之易网络科技发展有限公司,2013-10-18
文网进字[2013]031号,奇迹世界(SUN),上海壮游信息科技有限公司,2013-10-18
文网进字[2013]030号,现代战争,深圳市腾讯计算机系统有限公司,2013-10-18
文网进字[2013]028号,刀塔,完美世界（北京）网络技术有限公司,2013-08-07
文网进字[2013]027号,《新丝路》,游艺春秋网络科技（北京）有限公司,2013-08-07
文网进字[2013]026号,反恐精英online2,上海邮通科技有限公司,2013-08-07
文网进字[2013]025号,自由足球,深圳市腾讯计算机系统有限公司,2013-08-07
文网进字[2013]024号,天刹,深圳市腾讯计算机系统有限公司,2013-08-07
文网进字[2013]023号,扩散性百万亚瑟王,上海数龙科技有限公司,2013-07-16
文网进字[2013]018号,跑跑卡丁车官方竞速版,上海邮通科技有限公司,2013-07-15
文网进字[2013]022号,达芬奇,北京冠游时空数码技术有限公司,2013-07-15
文网进字[2013]021号,《暗影之剑》,北京畅游时代数码技术有限公司,2013-07-15
文网进字[2013]020号,骑士3.0,游艺春秋网络科技（北京）有限公司,2013-07-15
文网进字[2013]019号,《创世II》,北京光宇在线科技有限责任公司,2013-07-15
文网进字[2013]015号,黑雨,上海大乐网络科技有限公司,2013-06-09
文网进字[2013]016号,《机甲世界》,北京空中信使信息技术有限公司,2013-06-09
文网进字[2013]014号,永恒冒险,北京冠游时空数码技术有限公司,2013-06-09
文网进字[2013]017号,《坦克世界》0.8.5,北京空中信使信息技术有限公司,2013-06-09
文网进字[2013]010号,信喵之野望,上海布鲁潘达网络技术有限公司,2013-05-27
文网进字[2013]011号,名将列传,北京昆仑在线网络科技有限公司,2013-05-27
文网进字[2013]013号,星际争霸II：虫群之心,上海网之易网络科技发展有限公司,2013-05-27
文网进字[2013]012号,百万人的三国志,上海天戏网络技术有限公司,2013-05-27
文网进字[2013]006号,《坦克世界》0.8.4,北京空中信使信息技术有限公司,2013-04-02
文网进字[2013]008号,自由篮球,上海邮通科技有限公司,2013-04-02
文网进字[2013]007号,大航海时代Online－新纪元,上海天戏网络技术有限公司,2013-04-02
文网进字[2013]005号,剑灵,深圳市腾讯计算机系统有限公司,2013-02-06
文网进字[2013]002号,工人物语在线,上海碧汉网络科技有限公司,2013-02-06
文网进字[2013]003号,超能战联,上海邮通科技有限公司,2013-02-06
文网进字[2013]004号,奇迹《mu-eX700》,上海壮游信息科技有限公司,2013-02-06
文网进字[2013]001号,大航海时代Online—美洲大陆,上海天戏网络技术有限公司,2013-02-06
文网进字[2013]006号,《坦克世界》0.8.3,北京空中信使信息技术有限公司,2013-02-06
文网进字[2012]050号,枪战世界,上海大承网络技术有限公司,2012-12-25
文网进字[2012]052号,艾尔之光资料片,上海巨人网络科技有限公司,2012-12-25
文网进字[2012]053号,坦克世界（0.8.1）,北京空中信使信息技术有限公司,2012-12-25
文网进字[2012]051号,行星边际2,上海第九城市信息技术有限公司,2012-12-25
文网进字[2012]048号,大航海时代Online—东方文明,上海天戏网络技术有限公司,2012-12-05
文网进字[2012]046号,刀风斗士,上海数龙科技有限公司,2012-11-08
文网进字[2012]047号,晴空物语,北京昆仑在线网络科技有限公司,2012-11-08
文网进字[2012]044号,天堂II,深圳市腾讯计算机系统有限公司,2012-11-08
文网进字[2012]040号,影子部队,上海邮通科技有限公司,2012-09-24
文网进字[2012]041号,新倚天,陕西至尊网络科技有限公司,2012-09-24
文网进字[2012]039号,魔狱军团,上海浩方在线信息技术有限公司,2012-09-24
文网进字[2012]038号,阿瓦隆,广州唯思软件股份有限公司,2012-09-24
文网进字[2012]043号,仙境传说online,北京昆仑在线网络科技有限公司,2012-09-24
文网进字[2012]042号,新挑战,上海昊嘉信息技术有限公司,2012-09-24
文网进字[2012]032号,《大航海时代Online》,上海天希网络技术有限公司,2012-09-05
文网进字[2012]037号,星战前夜,上海邮通科技有限公司,2012-09-05
文网进字[2012]035号,梦幻龙族2,九合天下（北京）科技有限公司,2012-09-05
文网进字[2012]036号,《混沌与秩序》,广州市动景计算机科技有限公司,2012-09-05
文网进字[2012]034号,时尚女人帮,上海第九城市信息技术有限公司,2012-09-05
文网进字[2012]033号,魔兽世界：熊猫人之谜,上海网之易网络科技发展有限公司,2012-09-05
文网进字[2012]030号,《彩虹岛Online》新资料片《彩虹岛2》,上海数龙科技有限公司,2012-08-13
文网进字[2012]028号,沃尔学院,上海淘米网络科技有限公司,2012-08-13
文网进字[2012]031号,时空裂痕,上海数龙科技有限公司,2012-08-13
文网进字[2012]029号,劲舞堂,常州天堂网络科技有限公司,2012-08-13
文网进字[2012]024号,《奇迹》,上海壮游信息科技有限公司,2012-06-21
文网进字[2012]022号,天堂,深圳市腾讯计算机系统有限公司,2012-06-21
文网进字[2012]027号,千年之王,上海数龙科技有限公司,2012-06-21
文网进字[2012]023号,文明争霸,深圳市腾讯计算机系统有限公司,2012-06-21
文网进字[2012]025号,龙珠Online,上海数龙科技有限公司,2012-06-21
文网进字[2012]026号,永恒之塔4.0版本,上海数龙科技有限公司,2012-06-21
文网进字[2012]021号,QQ九仙,深圳市腾讯计算机系统有限公司,2012-05-28
文网进字[2012]019号,墨香online,深圳千峰云起信息科技有限公司,2012-05-28
文网进字[2012]020号,小白大作战,深圳市腾讯计算机系统有限公司,2012-05-18
文网进字[2012]018号,黄易群侠传online,北京龙图智库科技有限公司,2012-05-18
文网进字[2012]010号,最终幻想14,上海数龙科技有限公司,2012-04-09
文网进字[2012]011号,特战先锋,上海数龙科技有限公司,2012-04-09
文网进字[2012]013号,《欢乐牧场》,北京幻方朗睿软件科技有限公司,2012-04-09
文网进字[2012]016号,割绳子,北京幻方朗睿软件科技有限公司,2012-04-09
文网进字[2012]012号,沉默的狙击3D,北京幻方朗睿软件科技有限公司,2012-04-09
文网进字[2012]017号,3D全明星卡丁车大乱斗,北京幻方朗睿软件科技有限公司,2012-04-09
文网进字[2012]009号,时尚城市,上海悠游网软件科技有限公司,2012-04-09
文网进字[2012]014号,机器人大战,北京幻方朗睿软件科技有限公司,2012-04-09
文网进字[2012]015号,麻将茶馆,北京幻方朗睿软件科技有限公司,2012-04-09
文网进字[2012]005号,洛汗黄金城,北京银河聚阵网络科技有限公司,2012-03-05
文网进字[2012]008号,斗战神,深圳市腾讯计算机系统有限公司,2012-03-05
文网进字[2012]007号,《黄易群侠传2》,北京昆仑在线网络科技有限公司,2012-03-05
文网进字[2012]006号,守护之剑,上海数龙科技有限公司,2012-03-05
文网进字[2012]002号,自由国度,上海第九城市信息技术有限公司,2012-02-22
文网进字[2012]003号,冰火战歌,上海第九城市信息技术有限公司,2012-02-22
文网进字[2012]001号,核金风暴,北京神州橘子网络技术有限公司,2012-02-22
文网进字[2012]004号,冠军足球经理在线,上海数龙科技有限公司,2012-01-17
文网进字[2011]037号,秘密花园,上海骏梦网络科技有限公司,2011-12-30
文网进字[2011]036号,咖啡恋人,上海骏梦网络科技有限公司,2011-12-30
文网进字[2011]038号,圣境传说,北京昆仑在线网络科技有限公司,2011-12-30
文网进字[2011]039号,玄武豪侠传，简称“玄武”,深圳中青宝互动网络股份有限公司,2011-12-30
文网进字[2011]035号,大富翁OL,上海骏梦网络科技有限公司,2011-12-05
文网进字[2011]015-2号,魔兽世界：大地的裂变（4.3版本补丁）,上海网之易网络科技发展有限公司,2011-12-05
文网进字[2011]031号,将魂,深圳市腾讯计算机系统有限公司,2011-11-14
文网进字[2011]032号,全民足球,上海碧汉网络科技有限公司,2011-11-14
文网进字[2011]030号,仙境冒险,上海第九城市信息技术有限公司,2011-11-14
文网进字[2011]029号,NBA2K篮球在线,深圳市腾讯计算机系统有限公司,2011-11-14
文网进字[2011]028号,第九大陆,深圳市腾讯计算机系统有限公司,2011-11-14
文网进字[2011]033号,战地风云OL,北京畅游时代数码技术有限公司,2011-11-14
文网进字[2011]034号,新惊天动地,游艺春秋网络科技（北京）有限公司,2011-11-14
文网进字[2011]027号,纸片人,上海大承网络技术有限公司,2011-09-13
文网进字[2011]026号,3D可爱夹娃娃机,北京幻方郎睿软件科技有限公司,2011-09-13
文网进字[2011]025号,捕鼠达人,上海数龙科技有限公司,2011-09-13
文网进字[2011]0015-1号,魔兽世界：大地的裂变（4.2版本补丁）,上海网之易网络科技发展有限公司,2011-09-13
文网进字[2011]024号,露娜2,福州八爪鱼网络技术有限公司,2011-07-26
文网进字[2011]022号,圣灵战记,上海数龙科技有限公司,2011-07-26
文网进字[2011]023号,天堂梦,深圳市梦天堂网络文化发展有限公司,2011-07-26
文网进字[2011]019号,阿凡龙,北京侠客行网络技术有限公司,2011-06-27
文网进字[2011]021号,潘多拉,上海烈风网络科技有限公司,2011-06-27
文网进字[2011]020号,石器时代,广东胜思网络科技有限公司,2011-06-27
文网进字[2011]018号,风暴战区,上海邮通科技有限公司,2011-06-27
文网进字[2011]017号,洛奇英雄传,上海邮通科技有限公司,2011-06-27
文网进字[2011]016号,突击风暴,上海盛大网络发展有限公司,2011-06-27
文网进字[2011]015号,魔兽世界：大地的裂变,上海网之易网络科技发展有限公司,2011-06-01
文网进字[2011]014号,巫师之怒,上海巨人网络科技有限公司,2011-05-03
文网进字[2011]011号,卓越之剑2,九合天下（北京）科技有限公司,2011-05-03
文网进字[2011]013号,艾米尔编年史online,南京守望者网络科技有限公司,2011-05-03
文网进字[2011]010号,勇者之歌,上海游趣网络科技有限公司,2011-05-03
文网进字[2011]004号,英雄联盟,深圳市腾讯计算机系统有限公司,2011-05-03
文网进字[2011]012号,《新破天一剑》,游艺春秋网络科技（北京）有限公司,2011-05-03
文网进字[2011]007号,中华英雄?龙虎门,北京畅游时代数码技术有限公司,2011-03-17
文网进字[2011]006号,灵魂战神,北京光宇在线科技有限责任公司,2011-02-18
文网进字[2011]009号,勇士归来,河北鼎和电子科技有限公司,2011-02-18
文网进字[2011]008号,坦克世界,北京空中信使信息技术有限公司,2011-02-18
文网进字[2011]005号,魔钥,苏州晟丰软件有限公司,2011-02-18
文网进字[2011]003号,星际争霸II：自由之翼,上海网之易网络科技发展有限公司,2011-01-19
文网进字[2011]002号,风色群英传online,上海悠游网软件科技有限公司,2011-01-06
文网进字[2011]001-1号,永恒之塔2.2版本,上海盛大网络发展有限公司,2011-01-06
文网进字[2010]021-1号,魔兽世界?巫妖王之怒V3.3.5,上海网之易网络科技发展有限公司,2011-01-06
文网进字[2010]027号,艾尔之光,上海巨人网络科技有限公司,2010-11-11
文网进字[2010]028号,植物大战僵尸,北京千橡网景科技发展有限公司,2010-11-11
文网进字[2010]026号,特勤队Ⅱ,上海松雷文化传播有限公司,2010-11-11
文网进字[2010]022号,绝地反击,北京光宇在线科技有限责任公司,2010-09-10
文网进字[2010]023号,天子传奇,北京广亚世纪数码科技有限公司,2010-09-10
文网进字[2010]025号,守护者online,上海悠游网软件科技有限公司,2010-09-10
文网进字[2010]024号,蓝海战记,上海久游网络科技有限公司,2010-09-10
文网进字[2010]020号,石器时代2,广东胜思网络科技有限公司,2010-08-06
文网进字[2010]018号,开心星球,上海邮通科技有限公司,2010-08-06
文网进字[2010]019号,魔法门之英雄无敌：王国,上海碧汉网络科技有限公司,2010-08-06
文网进字[2010]016号,泡泡战士,上海盛大网络发展有限公司,2010-08-06
文网进字[2010]017号,波斯王子：时之沙（电影正版）,北京新浪互联信息服务有限公司,2010-08-06
文网进字[2010]021号,魔兽世界?巫妖王之怒,上海网之易网络科技发展有限公司,2010-08-06
文网进字[2010]011号,街头篮球2,上海天游软件有限公司,2010-05-26
文网进字[2010]014号,创誓记,上海游趣网络科技有限公司,2010-05-26
文网进字[2010]015号,壮志凌云,上海易当网络科技有限公司,2010-05-26
文网进字[2010]013号,洛汗,零度聚阵文化有限公司,2010-05-26
文网进字[2010]012号,精灵复兴,上海易当网络科技有限公司,2010-05-26
文网进字[2010]010号,中华英雄,北京畅游时代数码技术有限公司,2010-03-30
文网进字[2010]008号,世界摩托大奖赛-正版,北京雷霆万钧网络科技有限责任公司,2010-03-30
文网进字[2010]009号,热斗传说,上海盛大网络发展有限公司,2010-03-30
文网进字[2010]007号,新封印传说,宁波成功多媒体通信有限公司,2010-03-30
文网进字[2010]002号,三国群英传2online,上海第九城市信息技术有限公司,2010-02-10
文网进字[2010]006号,部落战争,上海维莱信息科技有限公司,2010-02-10
文网进字[2010]005号,决战,北京乐显世纪科技有限公司,2010-02-10
文网进字[2010]001号,阿凡达（电影正版）,北京新浪互联信息服务有限公司,2010-02-10
文网进字[2010]003号,RUSH-冲锋,北京戏杰环球软件开发有限公司,2010-02-10
文网进字[2010]004号,光之冒险,上海天希网络技术有限公司,2010-02-10
文网进字[2009]023号,英雄II,天津风云网络技术有限公司,2009-12-29
文网进字[2009]015号,大海战2,九合天下（北京）科技有限公司,2009-12-04
文网进字[2009]016号,真.女神转生,宁波成功多媒体通信有限公司,2009-12-04
文网进字[2009]020号,激战海陆空,北京快乐天成软件技术有限公司,2009-12-04
文网进字[2009]021号,机甲英豪,上海盛大网络发展有限公司,2009-12-04
文网进字[2009]022号,风色幻想,上海悠游网软件科技有限公司,2009-12-04
文网进字[2009]018号,吞食天地2.0,上海盛大网络发展有限公司,2009-12-04
文网进字[2009]017号,欢乐君主,北京联众电脑技术有限责任公司,2009-12-04
文网进字[2009]019号,传奇3,上海盛大网络发展有限公司,2009-12-04
文网进字[2009]014号,指环王online,北京互联经纬科技开发有限公司,2009-11-02
文网进字[2009]011号,龙之谷,上海盛大网络发展有限公司,2009-10-22
文网进字[2009]012号,自由捷客,上海盛大网络发展有限公司,2009-10-22
文网进字[2009]013号,海洋骑士团,上海盛大网络发展有限公司,2009-10-22
文网进字[2009]010号,三国志Online,上海冰动信息技术有限公司,2009-08-31
文网进字[2009]009号,激斗,上海盛大网络发展有限公司,2009-08-06
文网进字[2009]008号,精灵乐章,上海悠游网软件科技有限公司,2009-08-06
文网进字[2009]007号,天空战记,上海盛大网络发展有限公司,2009-08-06
文网进字[2009]006号,魔兽世界,上海网之易网络科技发展有限公司,2009-07-21
文网进字[2009]003号,K.O堂,杭州渡口网络科技有限公司,2009-05-14
文网进字[2009]005号,露娜,上海天游软件有限公司,2009-05-14
文网进字[2009]002号,六圣群侠传online,北京龙图智库科技有限公司,2009-05-14
文网进字[2009]001号,伊苏战记online,上海天希网络技术有限公司,2009-05-05
文网测字[2009]011号,飘邈之旅,上海悠游网软件科技有限公司,2009-03-31
文网测字[2009]012号,战地之王,深圳市腾讯计算机系统有限公司,2009-03-31
文网测字[2009]010号,体育帝国,上海巨人网络科技有限公司,2009-03-09
文网测字[2009]009号,梦幻龙族,上海冰动信息技术有限公司,2009-03-09
文网测字[2009]008号,永恒之塔,上海盛大网络发展有限公司,2009-03-09
文网测字[2009]007号,石器世界,杭州渡口网络科技有限公司,2009-02-17
文网测字[2009]006号,十二之天贰,上海悠游网软件科技有限公司,2009-02-17
文网测字[2009]005号,QQ仙境,深圳市腾讯计算机系统有限公司,2009-02-10
文网测字[2009]004号,SD敢达Online,上海润星网络科技有限公司,2009-02-10
文网测字[2009]001号,天堂2,上海盛大网络发展有限公司,2009-01-21
文网测字[2009]003号,唯舞独尊,广州市宏象网络有限公司,2009-01-21
文网测字[2009]002号,英雄连Online,上海盛大网络发展有限公司,2009-01-21
文网测字[2008]024号,反恐精英Online,上海邮通科技有限公司,2008-12-01
文网测字[2008]027号,全明星篮球在线,上海天游软件有限公司,2008-12-01
文网测字[2008]025号,滑轮风Online,中国电信股份有限公司,2008-12-01
文网测字[2008]026号,热血online,深圳市八泽科技有限公司,2008-12-01
文网测字[2008]029号,天堂,上海盛大网络发展有限公司,2008-12-01
文网测字[2008]028号,路尼亚战记,广州光通通信发展有限公司,2008-12-01
文网测字[2008]023号,冲锋岛,上海邮通科技有限公司,2008-10-27
文网测字[2008]022号,魔力宝贝2,上海久游网络科技有限公司,2008-10-27
文网测字[2008]019号,千年3,上海盛大网络发展有限公司,2008-10-13
文网测字[2008]018号,光线飞车,上海润星网络科技有限公司,2008-10-13
文网测字[2008]020号,仙剑online,上海久游网络科技有限公司,2008-10-13
文网测字[2008]015号,数码宝贝,广州光通通信发展有限公司,2008-07-16
文网测字[2008]014号,超级乒乓,上海盛大网络发展有限公司,2008-07-16
文网测字[2008]013号,生死格斗,上海盛大网络发展有限公司,2008-07-16
文网测字[2008]016号,极速轮滑,中视网元娱乐科技有限公司,2008-07-16
文网测字[2008]017号,苍天Online,上海盛大网络发展有限公司,2008-07-16
文网测字[2008]012号,宝贝坦克,上海摩力游数字娱乐有限公司,2008-06-10
文网测字[2008]011号,地下城与勇士,深圳市腾讯计算机系统有限公司,2008-06-10
文网测字[2008]010号,国际足联大赛在线2,上海第九城市信息技术有限公司,2008-05-13
文网测字[2008]009号,哼哼哈嘿,上海邮通科技有限公司,2008-05-12
文网测字[2008]007号,QQ飞行岛,深圳市腾讯计算机系统有限公司,2008-04-11
文网测字[2008]005号,封印传说,北京雷穹网络科技有限公司,2008-03-06
文网测字[2008]004号,雄霸,北京联众电脑技术有限责任公司,2008-02-21
文网测字[2008]006号,穿越火线,深圳市腾讯计算机系统有限公司,2008-01-08
文网测字[2008]008号,指环王Online,广州光通通信发展有限公司,2008-01-08
文网测字[2008]002号,洛奇,上海邮通科技有限公司,2008-01-08
文网测字[2008]003号,欢乐君主,北京欢乐时空文化传播有限公司,2008-01-08
文网测字[2008]001号,真?三国无双,上海天希网络技术有限公司,2008-01-08
文网测字[2007]010号,跑跑卡丁车,上海邮通科技有限公司,2008-01-08
文网测字[2007]009号,特勤队,上海志信信息技术有限公司,2007-12-28
文网测字[2007]008号,炮炮火枪手,上海邮通科技有限公司,2007-12-28
文网测字[2007]005号,突袭OL,神州通信有限公司,2007-12-26
文网测字[2007]004号,大航海时代Online,盛宣鸣数字娱乐科技（北京）有限公司,2007-12-26
文网测字[2007]003号,劲舞世界,上海尚禾广告有限公司,2007-12-26
文网测字[2007]006号,特种部队,北京互联经纬科技开发有限公司,2007-12-26
文网测字[2007]007号,超级跑跑,上海盛大网络发展有限公司,2007-12-26
文网测字[2007]002号,灵游记,北京联众电脑技术有限责任公司,2007-12-26
文网测字[2007]001号,劲爆足球,上海润星网络科技有限公司,2007-06-21
文网测字[2006]008号,霸王,上海盛大网络发展有限公司,2006-12-28
文网测字[2006]009号,星战前夜,广州光通通信发展有限公司,2006-12-27
文网测字[2006]026号,国度,广东数据通信网络有限公司,2006-12-27
文网测字[2006]025号,GameLobby网络平台,广州市宏象网络有限公司,2006-12-27
文网测字[2006]024号,光之国度,广州光通通信发展有限公司,2006-12-27
文网测字[2006]023号,龙与地下城,上海盛大网络发展有限公司,2006-12-27
文网测字[2006]022号,激战,上海第九城市信息技术有限公司,2006-12-27
文网测字[2006]021号,神泣,广州光通通信发展有限公司,2006-12-27
文网测字[2006]020号,机动战士敢达在线,中视网元娱乐科技有限公司,2006-12-27
文网测字[2006]019号,蒸汽幻想,上海天游软件有限公司,2006-12-27
文网测字[2006]018号,街头篮球,上海天游软件有限公司,2006-12-27
文网测字[2006]010号,跳跳堂,上海盛大网络发展有限公司,2006-12-27
文网测字[2006]011号,宝宝总动员,广州光通通信发展有限公司,2006-12-27
文网测字[2006]012号,QQ音速,深圳市腾讯计算机系统有限公司,2006-12-27
文网测字[2006]016号,卓越之剑,上海久诚信息技术有限公司,2006-12-27
文网测字[2006]017号,奇迹世界,上海久诚信息技术有限公司,2006-12-27
文网测字[2006]14号,桶桶online,北京歌华网络文化咨讯有限公司,2006-09-27
文网测字[2006]15号,艺电休闲游戏平台,广东天悦网络科技有限公司,2006-09-27
文网测字[2006]13号,彩虹骑士,北京歌华网络文化咨讯有限公司,2006-09-27
文网测字[2006]001号,嘉游,北京歌华网络文化咨讯有限公司,2006-06-21
文网测字[2006]002号,快乐Q动队,广州光通通信发展有限公司,2006-06-21
文网测字[2006]004号,挑战,上海百海信息科技有限公司,2006-06-14
文网测字[2006]005号,丝路传说,北京世模科技有限责任公司,2006-06-14
文网测字[2006]006号,盛大动感DJ,上海盛大网络发展有限公司,2006-06-14
文网测字[2006]007号,漂流幻境,中广亚广播信息网络有限公司,2006-06-14
文网测字[2006]3号,金庸群侠传2.0,北京龙图智库科技有限公司,2006-01-24
文网测字[2005]014号,劲乐团,上海润星网络科技有限公司,2005-12-24
文网测字[2005]013号,飞飞,广州网易计算机系统有限公司,2005-12-24
文网测字[2005]015号,劲舞团,上海润星网络科技有限公司,2005-12-24
文网测字[2005]016号,倚天2,中广亚广播信息网络有限公司,2005-12-24
文网测字[2005]017号,Rich大富翁,北京新浪互联信息服务有限公司,2005-12-24
文网测字[2005]11号,神之领域,上海兆鸿投资管理有限公司,2005-10-10
文网测字[2005]10号,胖丫族,四川公用信息产业有限公司,2005-10-10
文网进字[2005]004号,仙境传说,上海盛大网络发展有限公司,2005-08-24
文网测字[2005]7号,飚车,上海天纵网络有限公司,2005-06-13
文网测字[2005]8号,猎人MM,上海润星网络科技有限公司,2005-06-13
文网测字[2005]9号,坦克宝贝,上海兆鸿投资管理有限公司,2005-06-13
文网测字[2005]2号,天堂2,北京新浪互联信息服务有限公司,2005-04-29
文网测字[2005]6号,热血英豪,上海盛大网络发展有限公司,2005-04-29
文网测字[2005]2号,星际online,上海坤迈网络传播有限公司,2005-03-14
文网测字[2005]1号,我的泡泡,广东鑫诺影视文化传播有限公司,2005-03-14
文网测字[2005]3号,辉煌,万向通信有限公司,2005-03-14
文网测字[2005]5号,新浪游戏总动员,北京新浪互联信息服务有限公司,2005-03-14
文网测字[2005]4号,蓝色脉冲,朝华数字娱乐有限公司,2005-03-14
